generic_name,brand_names,strength,dosage_form,manufacturer,packageMark,indication,contraindication,side_effects
Abacavir + Lamivudine + Zidovudine,Tivizid,300 mg+150 mg+300 mg,Tablet,Square Pharmaceuticals Ltd.,tivizidtablet300-mg150-mg300-mg,,,
Abemaciclib,Abeclib,200 mg,Tablet,Eskayef Pharmaceuticals Ltd.,abeclibtablet200-mg,,,
Abiraterone Acetate,Abiret,250 mg,Tablet,Drug International Ltd.,abirettablet250-mg,,,
Abiraterone Acetate,Zytix,250 mg,Tablet,Beacon Pharmaceuticals Ltd.,zytixtablet250-mg,,,
Abiraterone Acetate,Zytiga,250 mg,Tablet,Janssen-Cilag,zytigatablet250-mg,,,
Acalabrutinib,Calcent,100 mg,Capsule,Incepta Pharmaceuticals Ltd.,calcentcapsule100-mg,,,
Acarbose,Acaril,50 mg,Tablet,The White Horse Pharma,acariltablet50-mg,,,
Acarbose,Gluco-A,50 mg,Tablet,ACME Laboratories Ltd.,gluco-atablet50-mg,,,
Acarbose,Gluco-A,100 mg,Tablet,ACME Laboratories Ltd.,gluco-atablet100-mg,,,
Acarbose,Sugatrol,50 mg,Tablet,Pacific Pharmaceuticals Ltd.,sugatroltablet50-mg,,,
Acarbose,Sugatrol,100 mg,Tablet,Pacific Pharmaceuticals Ltd.,sugatroltablet100-mg,,,
Aceclofenac,Alcefen,100 mg,Tablet,Allied Pharmaceuticals Ltd.,alcefentablet100-mg,,,
Aceclofenac,Alona,100 mg,Tablet,Kemiko Pharmaceuticals Ltd.,alonatablet100-mg,,,
Aceclofenac,Alofen,100 mg,Tablet,Orbit Pharmaceuticals Ltd.,alofentablet100-mg,,,
Aceclofenac,Analgen,100 mg,Tablet,Cosmo Pharma Ltd.,analgentablet100-mg,,,
Aceclofenac,Apeclo SR,200 mg,Tablet (Sustained Release),Apex Pharmaceuticals Ltd.,apeclo-srtablet-sustained-release200-mg,,,
Aceclofenac,Apeclo,100 mg,Tablet,Apex Pharmaceuticals Ltd.,apeclotablet100-mg,,,
Aceclofenac,Apitac,100 mg,Tablet,ACME Laboratories Ltd.,apitactablet100-mg,,,
Aceclofenac,Arnac,100 mg,Tablet,Arges Life Science Limited,arnactablet100-mg,,,
Aceclofenac,Aros,100 mg,Tablet,Globe Pharmaceuticals Ltd.,arostablet100-mg,,,
Aceclofenac,ASP,100 mg,Tablet,Quality Pharmaceuticals Ltd.,asptablet100-mg,,,
Aceclofenac,Avenac,100 mg,Tablet,Radiant Pharmaceuticals Ltd.,avenactablet100-mg,,,
Aceclofenac,Biofenac,100 mg,Tablet,Biogen Pharmaceuticals Ltd.,biofenactablet100-mg,,,
Aceclofenac,ACN,100 mg,Tablet,Modern Pharmaceuticals Ltd.,acntablet100-mg,,,
Aceclofenac,Casyn,100 mg,Tablet,Ethical Drug Ltd.,casyntablet100-mg,,,
Aceclofenac,Ceclofen,100 mg,Tablet,Renata Limited,ceclofentablet100-mg,,,
Aceclofenac,Ceconac,100 mg,Tablet,Hudson Pharmaceuticals Ltd.,ceconactablet100-mg,,,
Aceclofenac,Ceclonac,100 mg,Tablet,Oyster Pharmaceuticals Ltd.,ceclonactablet100-mg,,,
Aceclofenac,Aclovix,100 mg,Tablet,Aexim Pharmaceuticals Ltd.,aclovixtablet100-mg,,,
Aceclofenac,Aclopain,100 mg,Tablet,Jenphar Bangladesh Ltd.,aclopaintablet100-mg,,,
Aceclofenac,Aclonac,100 mg,Tablet,Pharmasia Limited,aclonactablet100-mg,,,
Aceclofenac,Aclo,100 mg,Tablet,Alco Pharma Ltd.,aclotablet100-mg,,,
Aceclofenac,Celofen,100 mg,Tablet,ACI Limited,celofentablet100-mg,,,
Aceclofenac,Claim ER,200 mg,Tablet (Extended Release),Al-Madina Pharmaceuticals Ltd.,claim-ertablet-extended-release200-mg,,,
Aceclofenac,Claim,100 mg,Tablet,Al-Madina Pharmaceuticals Ltd.,claimtablet100-mg,,,
Aceclofenac,Clof,100 mg,Tablet,Biopharma Laboratories Ltd.,cloftablet100-mg,,,
Aceclofenac,Acflam,100 mg,Tablet,Apollo Pharmaceutical Ltd.,acflamtablet100-mg,,,
Aceclofenac,ACF,100 mg,Tablet,Decent Pharma Laboratories Ltd.,acftablet100-mg,,,
Aceclofenac,Acepro,100 mg,Tablet,The White Horse Pharma,aceprotablet100-mg,,,
Aceclofenac,Acenopan,100 mg,Tablet,RN Pharmaceuticals,acenopantablet100-mg,,,
Aceclofenac,Acenac,100 mg,Tablet,Medicon Pharmaceuticals Ltd.,acenactablet100-mg,,,
Aceclofenac,Acelon,100 mg,Tablet,Central Pharmaceuticals Ltd.,acelontablet100-mg,,,
Aceclofenac,Acelock,100 mg,Tablet,Bristol Pharmaceuticals Ltd.,acelocktablet100-mg,,,
Aceclofenac,Dolonac,100 mg,Tablet,Cosmo Pharma Ltd.,dolonactablet100-mg,,,
Aceclofenac,Dolonac,100 mg,Tablet,Cosmic Pharma Ltd.,dolonactablet100-mg,,,
Aceclofenac,Acegic,100 mg,Tablet,Belsen Pharmaceuticals Ltd.,acegictablet100-mg,,,
